ID,GeneName,Community
6517,SCG5,6
6531,SCRN2,6
6543,SDE2,6
6549,SDHAF3,6
6554,SDK2,6
6558,SEC13,6
6559,SEC14L1,6
6560,SEC16A,6
6565,SEC23IP,6
6579,SEL1L,6
6600,SEMA4C,6
6603,SENP2,6
6605,SENP6,6
6606,SEPHS1,6
6610,SEPTIN2,6
6614,SEPTIN9,6
6628,SERPINE2,6
6633,SERTAD2,6
6639,SETD1A,6
6642,SETD3,6
6644,SETDB1,6
6646,SETX,6
6648,SF1,6
6654,SF3B3,6
6669,SFXN2,6
6672,SGCB,6
6673,SGF29,6
6679,SGSH,6
6688,SH3BGRL,6
6701,SH3RF1,6
6703,SHANK1,6
6714,SHOC2,6
6726,SIK3,6
6729,SIMC1,6
6730,SIN3A,6
6734,SIPA1L1,6
6737,SIRT1,6
6739,SIRT3,6
6743,SIVA1,6
6745,SIX4,6
6755,SKP1,6
6764,SLC12A9,6
6769,SLC16A2,6
6775,SLC1A3,6
6780,SLC22A17,6
6782,SLC23A2,6
6786,SLC25A13,6
6794,SLC25A29,6
6803,SLC25A42,6
6804,SLC25A43,6
6806,SLC25A46,6
