id,label,community
BAIAP2,BAIAP2,2
BAIAP2L1,BAIAP2L1,7
BAIAP3,BAIAP3,1
BAK1,BAK1,7
BANF1,BANF1,3
BAP1,BAP1,8
BARX2,BARX2,10
BASP1,BASP1,4
BAX,BAX,10
BAZ1A,BAZ1A,8
BAZ1B,BAZ1B,8
BAZ2A,BAZ2A,7
BBOX1,BBOX1,2
BBS10,BBS10,4
BBS2,BBS2,4
BBS4,BBS4,4
BBX,BBX,8
BCAM,BCAM,10
BCAP31,BCAP31,10
BCAR1,BCAR1,10
BCAR3,BCAR3,0
BCAS2,BCAS2,0
BCAT1,BCAT1,0
BCAT2,BCAT2,3
BCCIP,BCCIP,4
BCKDHB,BCKDHB,3
BCKDK,BCKDK,10
BCL10,BCL10,9
BCL2A1,BCL2A1,10
BCL2L1,BCL2L1,6
BCL2L11,BCL2L11,8
BCL2L12,BCL2L12,10
BCL2L13,BCL2L13,0
BCL2L2,BCL2L2,3
BCL3,BCL3,10
BCL6,BCL6,3
BCL7A,BCL7A,4
BCL7B,BCL7B,4
BCL7C,BCL7C,6
BCL9,BCL9,4
BCL9L,BCL9L,11
BCLAF1,BCLAF1,8
BCOR,BCOR,4
BCORL1,BCORL1,4
BCR,BCR,10
BCS1L,BCS1L,3
BDH1,BDH1,9
BECN1,BECN1,8
BEND3,BEND3,8
BEND7,BEND7,9
BET1,BET1,4
BET1L,BET1L,10
BEX1,BEX1,4
BEX2,BEX2,3
BEX3,BEX3,4
BEX4,BEX4,4
BFAR,BFAR,4
BGN,BGN,10
BHLHE40,BHLHE40,10
BHLHE41,BHLHE41,7
BICD1,BICD1,7
BICD2,BICD2,10
BICDL1,BICDL1,0
BICDL2,BICDL2,11
BICRA,BICRA,10
BICRAL,BICRAL,8
BID,BID,11
BIK,BIK,2
BIN1,BIN1,9
BIRC2,BIRC2,10
BIRC3,BIRC3,10
BIRC5,BIRC5,2
BIRC6,BIRC6,0
BLCAP,BLCAP,10
BLMH,BLMH,8
BLOC1S1,BLOC1S1,1
BLOC1S2,BLOC1S2,4
BLOC1S3,BLOC1S3,10
BLOC1S4,BLOC1S4,10
BLOC1S5,BLOC1S5,8
BLOC1S6,BLOC1S6,0
BLVRA,BLVRA,9
BLVRB,BLVRB,3
BLZF1,BLZF1,7
BMF,BMF,8
BMI1,BMI1,4
BMP1,BMP1,10
BMP4,BMP4,0
BMP7,BMP7,9
BMPR1A,BMPR1A,4
BMPR2,BMPR2,4
BMS1,BMS1,4
BMT2,BMT2,4
BNIP2,BNIP2,4
BNIP3,BNIP3,10
BNIP3L,BNIP3L,4
BOC,BOC,10
BOD1,BOD1,4
BOD1L1,BOD1L1,10
BOK,BOK,0
BOLA1,BOLA1,6
BOP1,BOP1,3
BORCS7,BORCS7,4
BPGM,BPGM,11
BPNT1,BPNT1,0
BPNT2,BPNT2,10
BPTF,BPTF,4
BRAP,BRAP,10
BRAT1,BRAT1,8
BRCC3,BRCC3,8
BRD1,BRD1,0
BRD2,BRD2,8
BRD3,BRD3,4
BRD3OS,BRD3OS,4
BRD4,BRD4,7
BRD7,BRD7,4
BRD8,BRD8,4
BRD9,BRD9,4
BRI3,BRI3,6
BRI3BP,BRI3BP,7
BRIX1,BRIX1,9
BRK1,BRK1,4
BRMS1,BRMS1,6
BROX,BROX,0
BRPF1,BRPF1,8
BRPF3,BRPF3,0
BSDC1,BSDC1,7
BSG,BSG,3
BSPRY,BSPRY,2
BST1,BST1,10
BST2,BST2,7
BTAF1,BTAF1,4
BTBD1,BTBD1,10
BTBD10,BTBD10,0
BTBD2,BTBD2,3
BTBD3,BTBD3,0
BTBD6,BTBD6,8
BTBD7,BTBD7,4
BTC,BTC,9
BTF3,BTF3,10
BTF3L4,BTF3L4,8
