node_id,gene_name,community_id,degree,clustering
8358,TMEM175,3,952.000000,0.499046
8359,TMEM176A,3,298.000000,0.670892
8360,TMEM176B,3,177.000000,0.722265
8361,TMEM177,5,575.000000,0.274995
8362,TMEM179B,3,788.000000,0.376760
8363,TMEM18,4,520.000000,0.401949
8364,TMEM181,6,113.000000,0.497472
8365,TMEM183A,7,269.000000,0.339483
8366,TMEM184B,6,80.000000,0.406013
8367,TMEM184C,6,1219.000000,0.444361
8368,TMEM185B,6,945.000000,0.425758
8369,TMEM186,15,626.000000,0.402776
8370,TMEM187,3,846.000000,0.508755
8371,TMEM19,6,472.000000,0.415236
8372,TMEM192,6,422.000000,0.416217
8373,TMEM203,3,998.000000,0.422574
8374,TMEM204,3,152.000000,0.508365
8375,TMEM205,3,736.000000,0.502636
8376,TMEM208,3,733.000000,0.501834
8377,TMEM209,5,563.000000,0.536817
8378,TMEM214,6,733.000000,0.334347
8379,TMEM216,3,642.000000,0.457463
8380,TMEM218,15,840.000000,0.325640
8381,TMEM219,3,1174.000000,0.430195
8382,TMEM222,3,958.000000,0.459825
8383,TMEM223,3,806.000000,0.479488
8384,TMEM229B,7,146.000000,0.548984
8385,TMEM230,8,49.000000,0.386054
8386,TMEM237,4,480.000000,0.432924
8387,TMEM238,3,804.000000,0.576876
8388,TMEM241,6,406.000000,0.374895
8389,TMEM242,4,187.000000,0.404807
8390,TMEM243,4,542.000000,0.416265
8391,TMEM245,6,712.000000,0.501501
8392,TMEM248,6,1081.000000,0.391715
8393,TMEM25,3,730.000000,0.402822
8394,TMEM250,3,808.000000,0.534644
8395,TMEM251,3,305.000000,0.352653
8396,TMEM254,12,58.000000,0.295221
8397,TMEM256,2,233.000000,0.414311
8398,TMEM258,3,455.000000,0.360478
8399,TMEM259,3,911.000000,0.520064
8400,TMEM263,6,863.000000,0.435036
8401,TMEM267,5,489.000000,0.463333
8402,TMEM268,6,599.000000,0.430991
8403,TMEM30A,6,893.000000,0.438779
8404,TMEM30B,6,924.000000,0.436008
8405,TMEM33,6,406.000000,0.540522
8406,TMEM37,2,230.000000,0.692121
8407,TMEM39A,5,1165.000000,0.432156
8408,TMEM39B,3,407.000000,0.358420
8409,TMEM41A,6,506.000000,0.422792
8410,TMEM41B,6,562.000000,0.356817
8411,TMEM42,3,693.000000,0.507553
8412,TMEM43,4,451.000000,0.322000
8413,TMEM45A,5,74.000000,0.412810
8414,TMEM45B,13,107.000000,0.427791
8415,TMEM47,3,199.000000,0.757170
8416,TMEM50A,6,504.000000,0.390656
8417,TMEM50B,15,674.000000,0.406281
8418,TMEM51,3,129.000000,0.399225
8419,TMEM54,3,547.000000,0.543209
8420,TMEM59,3,319.000000,0.395398
8421,TMEM60,3,367.000000,0.326961
8422,TMEM62,13,153.000000,0.396199
8423,TMEM63A,15,710.000000,0.461515
8424,TMEM63B,3,296.000000,0.310169
8425,TMEM63C,6,499.000000,0.451851
8426,TMEM64,3,77.000000,0.913876
8427,TMEM65,5,209.000000,0.462045
8428,TMEM69,7,284.000000,0.361992
8429,TMEM70,5,114.000000,0.482379
8430,TMEM79,7,274.000000,0.407529
8431,TMEM80,3,808.000000,0.487038
8432,TMEM86A,7,60.000000,0.345198
8433,TMEM87A,6,985.000000,0.445601
8434,TMEM87B,6,963.000000,0.440226
8435,TMEM88,2,377.000000,0.404721
8436,TMEM9,3,437.000000,0.376430
8437,TMEM94,7,347.000000,0.333278
8438,TMEM97,7,225.000000,0.368294
8439,TMEM98,3,369.000000,0.464799
8440,TMEM9B,3,496.000000,0.326149
8441,TMF1,5,1198.000000,0.441980
8442,TMOD3,6,762.000000,0.506334
8443,TMPO,5,703.000000,0.500363
8444,TMPRSS11E,3,256.000000,0.753768
8445,TMPRSS13,7,115.000000,0.436613
8446,TMPRSS2,4,292.000000,0.487619
8447,TMPRSS3,6,376.000000,0.515901
8448,TMSB10,6,176.000000,0.492143
8449,TMSB15A,5,538.000000,0.601241
8450,TMSB4X,3,26.000000,0.563077
8451,TMTC1,2,99.000000,0.422387
8452,TMTC2,6,282.000000,0.443654
8453,TMTC3,6,598.000000,0.427998
8454,TMTC4,15,83.000000,0.522480
8455,TMUB1,3,1088.000000,0.483542
8456,TMUB2,15,1141.000000,0.333851
8457,TMX1,1,576.000000,0.377560
8458,TMX2,6,583.000000,0.363707
8459,TMX3,5,840.000000,0.471928
8460,TMX4,4,663.000000,0.366684
8461,TNC,13,13.000000,0.551282
8462,TNFAIP1,7,209.000000,0.429840
